,target_correlation
trip_distance_km,0.9184540061786406
trip_duration_min,0.8317371951054172
avg_speed_kmh,0.7079399720893016
speed_std,0.6083760970890798
max_speed_kmh,0.5375926233199414
trip_hour,-0.3519498098283275
idle_ratio,-0.2615059836221156
rpm_std,-0.22540784072486475
max_rpm,-0.2222674842162145
is_weekend,0.1674771769136398
avg_rpm,-0.15351232208844756
day_of_week,0.0971370532919688
high_rpm_ratio,-0.04207471671776703
