period,trips,mean_fuel,median_fuel,mean_distance,mean_duration,mean_avg_speed,mean_avg_rpm,mean_idle_ratio
After,3572,2.4032446808510635,0.33,10.675402660857504,16.481561515490853,20.35702364783401,1164.9592094472907,0.14905843314015393
Before,3246,2.4016142945163277,0.32,10.972564376556685,16.536837980078044,21.223646877653618,1183.0054130799572,0.14636797367094886
Final,3105,2.5029371980676327,0.37,11.050033126020935,17.079930037573806,20.834497862130664,1172.5134854645837,0.1481319839797823
