period,trips,avg_fuel_liter,median_fuel_liter,avg_distance_km,avg_speed_kmh,avg_rpm,avg_idle_ratio
After,3572,2.4032446808510635,0.33,10.675402660857504,20.35702364783401,1164.9592094472907,0.14905843314015393
Before,3246,2.4016142945163277,0.32,10.972564376556685,21.223646877653618,1183.0054130799572,0.14636797367094886
Final,3105,2.5029371980676327,0.37,11.050033126020935,20.834497862130664,1172.5134854645837,0.1481319839797823
