feature,raw_fuel_corr,distance_controlled_corr,vehicle_distance_controlled_corr
avg_rpm,-0.15351232208844384,-0.23354137076111453,0.09312906516707362
max_rpm,-0.22226748421620998,-0.27593271598247776,0.04263283873949376
avg_speed_kmh,0.7079399720892989,-0.09053700197088384,0.008326664710380726
max_speed_kmh,0.5375926233199411,-0.1768438165644862,0.029826258576919538
idle_ratio,-0.26150598362211513,-0.05500266607982317,-0.009255727531459654
high_rpm_ratio,-0.042074716717766726,-0.08262337056073228,0.015369263438471534
