vehicle_id,trips,distance_fuel_corr,avg_rpm_controlled_corr,max_rpm_controlled_corr,avg_speed_kmh_controlled_corr,max_speed_kmh_controlled_corr,idle_ratio_controlled_corr,high_rpm_ratio_controlled_corr
VEH_01,1684,0.9767314384083512,0.20877602281828767,0.21595423168189862,-0.027614938120042624,0.08090466258814394,0.19351143905479173,0.040080774516932836
VEH_02,637,0.9190756539480281,0.22880881060113545,0.16372772429314308,0.13631164607140822,0.1950531373497221,-0.010932889380374781,0.06701896973477743
VEH_03,570,0.9840687360150993,0.033254919853190394,0.18320844900976377,-0.09858341542487015,0.09834389167419635,0.18743516293697488,0.10146420452615888
VEH_04,687,0.933604121683017,0.21080821561320173,0.2281002067651949,0.0776215744910057,0.1237245027089046,0.07886989307539542,0.22950659626467537
VEH_05,378,0.7433073637029828,0.19392531658961615,0.08859220379986772,0.019603946959711138,0.0034275458841969172,-0.0447789969642906,
VEH_06,583,0.8415074444667223,0.23181679492227417,0.16658057013859418,0.028053024920490017,0.10694524364926589,-0.09083415927680155,
VEH_07,513,0.8104362545044081,0.26896451089267426,0.25002599170948064,0.06811556960048891,0.11694344307621093,0.046788292868995246,0.14452716409611316
VEH_08,757,0.9810137398614224,0.14429365858220314,0.28855171355804715,-0.053073477550350766,0.13979988563748486,0.22766381410118436,0.13612937476730644
VEH_09,1829,0.9075092216840807,0.11606894203091335,0.11238351016078545,-0.015943910288716615,0.06062434151109309,0.1730773324342499,-0.003085519337299116
VEH_10,1308,0.9520859801918344,0.18076111479321316,0.2563002620852652,-0.03971011339559311,0.13259047678072955,0.254932332811583,0.11284271202842933
VEH_11,329,0.9718286627093313,0.21877033268467588,0.30966530516022295,-0.10343876947443602,0.10688013115259318,-0.02431825603852832,
VEH_12,648,0.9373818472649379,0.22943896175155015,0.20019493367351684,0.05195204745172829,0.04870236580448649,-0.06740854720733279,
