feature,distance_controlled_fuel_corr
avg_rpm,-0.23354137076111453
max_rpm,-0.27593271598247776
avg_speed_kmh,-0.09053700197088384
max_speed_kmh,-0.1768438165644862
idle_ratio,-0.05500266607982317
high_rpm_ratio,-0.08262337056073228
