vehicle_id,trips,avg_rpm_fuel_corr,max_rpm_fuel_corr,avg_speed_kmh_fuel_corr,max_speed_kmh_fuel_corr,idle_ratio_fuel_corr,high_rpm_ratio_fuel_corr,distance_fuel_corr
VEH_01,1684,0.42414591082076447,0.5092347392344853,0.7185662539826586,0.7593525113903083,0.07520416625857816,0.038031890296517816,0.9767314384083512
VEH_02,637,0.5279782673401745,0.4862305700472295,0.7395718853215321,0.7316759108994094,-0.18866313772690815,0.15915139973575954,0.9190756539480281
VEH_03,570,0.691511321528202,0.6924122860803082,0.8648206658182952,0.9526894591504044,-0.1944307495405211,0.08794713992707064,0.9840687360150993
VEH_04,687,0.5486847975852218,0.5835117699549254,0.7782532147974083,0.8246217879551211,-0.1684735759360033,0.3078593275595223,0.933604121683017
VEH_05,378,0.5511770199155446,0.4931181706368511,0.6587161538040599,0.5964104835178475,-0.2195926553659793,,0.7433073637029828
VEH_06,583,0.4413536148554804,0.44864844151488115,0.6742643214635402,0.6118811868062379,-0.0963159029061278,,0.8415074444667223
VEH_07,513,0.4715016327408127,0.4524753547504298,0.6455216272831131,0.6972173398424045,-0.13275502563604685,0.12715370384366445,0.8104362545044081
VEH_08,757,0.6549273515587363,0.6293373238814994,0.8753852109164773,0.9076126048535053,-0.13941749217099636,0.20599388982827826,0.9810137398614224
VEH_09,1829,0.5238171043801969,0.49308620387700464,0.6518612873302193,0.7403861716267626,0.24734516206678975,0.03508722333417548,0.9075092216840807
VEH_10,1308,0.4777693806087677,0.529716993743909,0.7326287160913587,0.8185625321568168,0.0313298247433156,0.12694382523944836,0.9520859801918344
VEH_11,329,0.6649358341407838,0.6217859280681638,0.8121884108698363,0.8244293062323282,-0.36633750677057214,,0.9718286627093313
VEH_12,648,0.5840470449039888,0.5255064941014634,0.8197236352732157,0.7234172359775418,-0.272138646058794,,0.9373818472649379
