model,train_MAE,validation_MAE,MAE_gap,train_RMSE,validation_RMSE,RMSE_gap,train_R2,validation_R2,R2_gap
original_context,0.2144758051615087,0.37909207578940823,0.16461627062789955,0.571903293727921,1.6833399469394879,1.111436653211567,0.9879731003641095,0.9102480098570723,0.07772509050703713
tuned_context,0.21201760583048856,0.35055110609714263,0.13853350026665406,0.6177629154676817,1.7867548186783335,1.1689919032106517,0.9859669472061234,0.898881562083056,0.0870853851230674
