model,feature_set,num_features,train_MAE,train_RMSE,train_R2,validation_MAE,validation_RMSE,validation_R2
Linear Regression - Baseline,Baseline,2,0.6868240617882038,1.9382953713153328,0.8618507890961935,0.7495310737019282,2.4686311097601377,0.8069753279258437
Linear Regression - Extended,Extended,10,0.7417119623906981,1.893813449582894,0.8681188017738425,0.7999177746946116,2.438315110901618,0.8116870927781222
Linear Regression - Context,Context,13,0.7407225945220149,1.881427131028297,0.8698382748069198,0.8013741814161003,2.4138472489738434,0.815447473119249
