model,feature_set,num_features,train_MAE,train_RMSE,train_R2,validation_MAE,validation_RMSE,validation_R2
XGBoost - Baseline,Baseline,2,0.5120722804183956,1.67495455745298,0.8968392361952596,0.5810947500818764,2.261604185143463,0.8379930573332207
XGBoost - Extended,Extended,10,0.25449055572290663,0.7261668385369449,0.9806098434265347,0.4345094507103762,1.8658154300344552,0.8897349728935383
XGBoost - Context,Context,13,0.2144758051615087,0.571903293727921,0.9879731003641095,0.37909207578940823,1.6833399469394879,0.9102480098570723
