distance_group,trips,mean_actual_fuel,MAE,median_absolute_error
0-0.5 km,378,0.1787037037037037,0.21667399919098465,0.06288259387016296
0.5-1 km,271,0.24826568265682658,0.1120452808011392,0.05768923819065094
1-5 km,722,0.4961772853185596,0.13524054876655092,0.06385612547397616
5-20 km,232,1.481853448275862,0.2847422743151928,0.1328549861907959
20-50 km,265,6.609094339622642,0.7904202924404504,0.324984073638916
50+ km,117,20.26957264957265,1.798390097984901,0.8117915344238273
