n_estimators,learning_rate,max_depth,subsample,colsample_bytree,train_MAE,validation_MAE,validation_RMSE,validation_R2,mae_gap
200,0.03,5,1.0,1.0,0.21201760583048856,0.35055110609714263,1.7867548186783335,0.898881562083056,0.13853350026665406
300,0.03,5,1.0,1.0,0.182254497822664,0.35175175852137347,1.773295026276245,0.9003992933046088,0.16949726069870946
500,0.03,5,0.8,1.0,0.15303456196639864,0.35592402287385483,1.7532860399530652,0.9026343028733995,0.2028894609074562
200,0.03,5,0.8,1.0,0.21544971275534125,0.35609139783999477,1.779374753662965,0.8997151621380366,0.14064168508465352
300,0.03,5,0.8,1.0,0.1864191390625371,0.3567962277373311,1.7674223208909539,0.901057905701278,0.170377088674794
500,0.03,5,1.0,1.0,0.15325813435011545,0.35716271792092374,1.7665851331613334,0.9011516167382294,0.2039045835708083
200,0.08,5,0.8,1.0,0.15060954779839353,0.3573726195579944,1.7187082410774666,0.9064368689806733,0.20676307175960085
200,0.05,5,1.0,1.0,0.17630857566340505,0.3590100040119971,1.787652515229534,0.898779929251104,0.18270142834859207
300,0.08,5,0.8,1.0,0.12124261982638142,0.35912684492323255,1.7120557727042542,0.9071597621023794,0.23788422509685114
200,0.05,5,0.8,1.0,0.18454642769199722,0.36123769642035913,1.7434953312973602,0.9037186867090135,0.1766912687283619
500,0.08,5,0.8,1.0,0.08697678809706531,0.36172261655457677,1.711390639657168,0.907231884887358,0.27474582845751144
200,0.05,5,0.8,0.8,0.18484244159160942,0.3629749867414413,1.7244541398898925,0.9058102321655119,0.17813254514983187
300,0.05,5,1.0,1.0,0.15365897070184856,0.3637829846741106,1.7892173412424301,0.8986026452177582,0.21012401397226202
500,0.03,5,0.8,0.8,0.1562113550478858,0.3639013192562434,1.7238428565937243,0.9058769969759566,0.2076899642083576
500,0.05,5,1.0,1.0,0.12119614204423422,0.36417702557953424,1.78905344708532,0.8986212205718858,0.2429808835353
300,0.05,5,0.8,1.0,0.1569492233494993,0.3642699736448366,1.7344851240597632,0.9047112594524923,0.2073207502953373
300,0.03,5,0.8,0.8,0.19052650474292052,0.3646664321764281,1.7433042814325195,0.903739786305596,0.17413992743350756
500,0.05,5,0.8,0.8,0.12299985519293709,0.3647555672400282,1.7132985901583937,0.9070249237991016,0.24175571204709112
500,0.05,5,0.8,1.0,0.12036078046789432,0.36532844818011395,1.7319572528997944,0.9049888082489059,0.24496766771221962
300,0.05,5,0.8,0.8,0.15834164871220144,0.3655348362956549,1.7195609250770665,0.9063440090373702,0.20719318758345348
200,0.08,5,0.8,0.8,0.15867117375671208,0.36746833344622365,1.72781997479115,0.9054421892102424,0.20879715968951157
200,0.03,5,0.8,0.8,0.22072562932507328,0.3687580884773312,1.756073061743469,0.9023245120116785,0.14803245915225793
200,0.08,5,1.0,1.0,0.14949657551739276,0.3689990576414769,1.778349675306135,0.8998306748547066,0.21950248212408413
300,0.03,5,1.0,0.8,0.19287382386387858,0.36981411604055786,1.8046629404183416,0.8968444431184539,0.17694029217667928
500,0.08,5,0.8,0.8,0.0938845071896897,0.36999518364571243,1.7226704982339178,0.9060049765847397,0.2761106764560227
300,0.08,5,0.8,0.8,0.12960446350076632,0.37013912242105795,1.727013071421739,0.9055304868351923,0.24053465892029163
300,0.08,5,1.0,1.0,0.12529646202705388,0.37048753731078454,1.7727999558226752,0.9004548988109541,0.24519107528373066
500,0.08,5,1.0,1.0,0.0913885573784765,0.37283109188554175,1.7669837614925417,0.9011070016092616,0.28144253450706525
500,0.03,4,1.0,1.0,0.2122581599249676,0.3730871377133387,1.7420423504399927,0.9038790962155361,0.16082897778837107
500,0.03,5,1.0,0.8,0.1626685335831911,0.37319120220447677,1.7834237586379826,0.8992582423142517,0.21052266862128566
200,0.03,5,1.0,0.8,0.221830524767782,0.3733163909173808,1.8289255467162375,0.8940520688980182,0.15148586614959877
500,0.05,4,1.0,1.0,0.18022526286187987,0.3733241887358894,1.702723081005008,0.9081691775127706,0.19309892587400954
300,0.03,4,1.0,1.0,0.24832671777927454,0.3752335304689667,1.7783191066453101,0.8998341185146916,0.12690681268969214
200,0.05,5,1.0,0.8,0.1871112461330942,0.3758142546086997,1.7964772009762477,0.8977781237874081,0.1887030084756055
200,0.08,4,0.8,1.0,0.21033139742859952,0.37624724304130164,1.6488398923849321,0.9138892443007129,0.16591584561270212
300,0.08,4,1.0,0.8,0.18231892245223716,0.377144740653107,1.6281884813880056,0.9160327782170822,0.19482581820086983
200,0.08,4,1.0,0.8,0.20942851671161888,0.3773015861649791,1.6627152753897618,0.9124338609504077,0.16787306945336022
300,0.05,4,1.0,1.0,0.21129236524548387,0.3775987472043863,1.7595456115294779,0.9019378329362852,0.16630638195890243
500,0.05,4,0.8,0.8,0.179959164739217,0.3777032422435092,1.664258748659329,0.9122712128667946,0.1977440775042922
500,0.03,4,0.8,1.0,0.21357105528425918,0.3777341747617828,1.7063341866426613,0.9077792580458643,0.1641631194775236
500,0.03,4,0.8,0.8,0.21602302086054836,0.3777347093958018,1.71896248085755,0.9064091862958924,0.16171168853525342
300,0.05,5,1.0,0.8,0.16281037700413778,0.37806395774006946,1.7943599094590952,0.8980189350475631,0.21525358073593168
200,0.08,4,1.0,1.0,0.21067344229780902,0.37841355526434167,1.7494328652878333,0.9030617913481296,0.16774011296653266
200,0.05,4,0.8,1.0,0.24291052033266,0.3787596249129554,1.7003449839798583,0.90842550821844,0.1358491045802954
300,0.08,4,0.8,1.0,0.18281229963161694,0.3789118661674406,1.6309053452578084,0.9157523219366136,0.19609956653582367
500,0.05,4,0.8,1.0,0.17986497165743642,0.3789896086938515,1.6783286572096643,0.910781596363564,0.1991246370364151
200,0.05,4,1.0,1.0,0.23963068899755813,0.37905424455812275,1.790462649387613,0.8984614495210206,0.13942355556056463
300,0.03,4,0.8,1.0,0.24808692715115804,0.37908813102177863,1.7418468233474211,0.9039006722537,0.1310012038706206
300,0.05,4,0.8,0.8,0.2144758051615087,0.37909207578940823,1.6833399469394879,0.9102480098570723,0.16461627062789955
500,0.08,4,1.0,1.0,0.14688164630691733,0.3793183771624442,1.722294642333824,0.906045988177071,0.23243673085552688
500,0.05,5,1.0,0.8,0.12987482720672608,0.37951127491961295,1.7837311623474843,0.8992235101774488,0.24963644771288687
200,0.05,4,0.8,0.8,0.24283154336789659,0.3795296775136132,1.7140270612686253,0.9069458435310915,0.13669813414571663
300,0.05,4,0.8,1.0,0.21534588619593237,0.38017979048022893,1.6876349646039677,0.9097894237405021,0.16483390428429656
500,0.08,4,0.8,0.8,0.14773248412533205,0.3806214219908645,1.6787432848858717,0.9107375084685422,0.23288893786553247
500,0.08,4,1.0,0.8,0.14523741630943607,0.3809054882664126,1.6182257603446393,0.9170572083231446,0.2356680719569765
500,0.08,4,0.8,1.0,0.14453013735204936,0.38111435569757457,1.623043976170057,0.9165625539511468,0.2365842183455252
300,0.03,4,0.8,0.8,0.24918118161035666,0.38137283384877135,1.7591034945973538,0.9019871064502283,0.1321916522384147
300,0.03,4,1.0,0.8,0.24460405383440573,0.3814225182491178,1.77221563416833,0.9005205088896215,0.1368184644147121
300,0.08,4,0.8,0.8,0.18443769797464246,0.38142277130186414,1.6893063028769226,0.9096106563528653,0.19698507332722168
300,0.08,4,1.0,1.0,0.18537733310549365,0.3814255224949298,1.7468130868234315,0.9033519042026572,0.19604818938943613
200,0.08,4,0.8,0.8,0.2117485338500002,0.3814848611210273,1.6942825006949893,0.909077351367376,0.1697363272710271
300,0.05,4,1.0,0.8,0.21277894336847578,0.3830003920313022,1.718951836629298,0.9064103453658664,0.17022144866282643
500,0.03,4,1.0,0.8,0.21231447663842587,0.3836065336626858,1.7315699900781782,0.9050312921942435,0.17129205702425995
200,0.03,4,1.0,1.0,0.2791480380715638,0.3837657655195265,1.8093998710538153,0.8963022011233612,0.10461772744796272
500,0.05,4,1.0,0.8,0.18083731034227446,0.384423356558293,1.6789682452117307,0.9107135835899622,0.20358604621601856
200,0.03,4,0.8,1.0,0.2790445563738673,0.3845042685427766,1.7752005533571231,0.9001851227201961,0.10545971216890926
200,0.08,5,1.0,0.8,0.15759089232439738,0.3866002119230678,1.828255389349351,0.8941296978407345,0.22900931959867044
200,0.03,4,0.8,0.8,0.27978299412501684,0.38735811882227733,1.7849034930776713,0.8990909989533576,0.1075751246972605
300,0.08,5,1.0,0.8,0.1305366625189897,0.3875763653814558,1.832052782310079,0.8936894435266329,0.2570397028624661
200,0.03,4,1.0,0.8,0.27863592714530283,0.3881483257991785,1.8020977857058138,0.8971374860996513,0.10951239865387569
500,0.08,5,1.0,0.8,0.09682444440012428,0.38910537018351865,1.8257533896480393,0.8944192703089379,0.2922809257833944
200,0.05,4,1.0,0.8,0.2392519553769651,0.3901547080822739,1.7750434494100922,0.900202789025303,0.15090275270530884
200,0.08,3,0.8,1.0,0.28605590962962785,0.39553723353440745,1.649123101604471,0.9138596605255414,0.1094813239047796
300,0.08,3,0.8,1.0,0.2650435397783584,0.399072313942672,1.633710666830326,0.9154622436739154,0.13402877416431364
500,0.08,3,0.8,1.0,0.23292269467706195,0.3996841823514433,1.6149740150204022,0.9173902123554336,0.16676148767438137
500,0.03,3,0.8,1.0,0.2938782216732036,0.40160460119510966,1.6782900272476418,0.91078570338261,0.10772637952190606
500,0.05,3,0.8,1.0,0.2622175155796573,0.4017546233573895,1.6385174226170693,0.9149640524713701,0.1395371077777322
300,0.05,3,1.0,1.0,0.29117844871981113,0.402869908833454,1.6915464584819881,0.9093707703701646,0.11169146011364289
300,0.08,3,1.0,1.0,0.26326934109376526,0.40373020349543776,1.6479626632737263,0.9139808466056288,0.1404608624016725
500,0.03,3,1.0,1.0,0.2977655020899359,0.40379898551940274,1.725806660446866,0.9056624247488282,0.10603348342946683
500,0.05,3,1.0,1.0,0.2592271614411979,0.40482312234304846,1.6776834484921739,0.9108501805787347,0.14559596090185056
500,0.08,3,1.0,1.0,0.22978786180621505,0.4060007628306796,1.6433777120301947,0.9144588246489223,0.17621290102446455
200,0.08,3,1.0,1.0,0.29280369953487984,0.4062860894450068,1.7075392979920443,0.9076489488613466,0.11348238991012699
300,0.05,3,0.8,1.0,0.2964399748802798,0.40793488616235224,1.6823480128699133,0.9103537541856825,0.11149491128207245
300,0.03,3,0.8,1.0,0.3288156365978436,0.40943198405656617,1.7352066547140474,0.9046319643961804,0.08061634745872259
500,0.05,3,1.0,0.8,0.2699394170817173,0.4095703445917186,1.6093947061126284,0.9179600164096616,0.13963092751000128
200,0.05,3,1.0,1.0,0.3195212732893351,0.4108700308594899,1.7707751040503248,0.900682165246696,0.09134875757015481
500,0.03,3,0.8,0.8,0.2976911725053788,0.41230991550315155,1.7073969206805244,0.9076643489709819,0.11461874299777275
300,0.05,3,1.0,0.8,0.30346231778611504,0.4140027011377122,1.675235280808355,0.91111017535097,0.11054038335159716
500,0.03,3,1.0,0.8,0.30243518431028477,0.41462111434505394,1.704854060515975,0.907939178803776,0.11218593003476918
200,0.05,3,0.8,1.0,0.3223880446855027,0.4150375558785878,1.7285211548096011,0.9053654271612377,0.09264951119308512
500,0.05,3,0.8,0.8,0.26901405410398777,0.4152219841742997,1.7171477067744325,0.9066066967459228,0.1462079300703119
200,0.05,3,1.0,0.8,0.33099218479597486,0.4165241061596021,1.7292344436003073,0.9052873075415617,0.08553192136362725
300,0.05,3,0.8,0.8,0.2986832973844842,0.41703109291985974,1.7520395323524107,0.9027726989314022,0.11834779553537556
300,0.03,3,0.8,0.8,0.3324657760452252,0.4172293530187572,1.7611488870299898,0.9017590455292597,0.08476357697353198
300,0.03,3,1.0,1.0,0.3341645438352527,0.41896594781802043,1.831009176510989,0.8938105259700274,0.08480140398276775
300,0.08,3,0.8,0.8,0.2794788646442757,0.419808843900656,1.71031109196295,0.9073488844967047,0.1403299792563803
500,0.08,3,0.8,0.8,0.2465414941490815,0.4207115068058988,1.6788937342854122,0.9107215082972826,0.1741700126568173
200,0.03,3,0.8,1.0,0.3564982971756919,0.4229250199919384,1.8023884894191056,0.8971042970831233,0.06642672281624645
200,0.05,3,0.8,0.8,0.3248570332988783,0.4230132743634415,1.815524815203169,0.8955989643887277,0.09815624106456322
300,0.03,3,1.0,0.8,0.33576733694303784,0.42446299791466024,1.78895889500843,0.8986319360939544,0.0886956609716224
500,0.08,3,1.0,0.8,0.24443475493494832,0.4247450614529533,1.6414122415733015,0.9146633158152694,0.180310306518005
200,0.08,3,0.8,0.8,0.30576283692536216,0.4248552624526286,1.7517794738764703,0.9028015600463887,0.11909242552726645
200,0.08,3,1.0,0.8,0.30449815148627235,0.4284185920228304,1.7481591776562158,0.9032028931344036,0.12392044053655804
200,0.03,3,1.0,1.0,0.35907596880802845,0.4299130902167231,1.8547179242814824,0.8910427418052387,0.07083712140869464
300,0.08,3,1.0,0.8,0.279046210496269,0.43031823975437555,1.7096494485250442,0.9074205558380924,0.15127202925810657
200,0.03,3,0.8,0.8,0.36355652984043035,0.43301893083709914,1.8330543034970932,0.8935731789974312,0.06946240099666878
200,0.03,3,1.0,0.8,0.3657897461247312,0.4388589696425326,1.8685618219088924,0.8894101242016241,0.07306922351780143
